iter	RMSE
0	14.9314085
1	14.53222927
2	14.1321583
3	13.77519206
4	13.47899821
5	13.16967727
6	12.8702375
7	12.62699544
8	12.34618334
9	12.0116306
10	11.7024373
11	11.44585171
12	11.22195401
13	11.00988414
14	10.72927245
15	10.54122292
16	10.3121367
17	10.06969252
18	9.878193719
19	9.671253909
20	9.50497798
21	9.290413296
22	9.082353225
23	8.911200311
24	8.71827679
25	8.577103283
26	8.390466809
27	8.238264352
28	8.099277686
29	7.93067098
30	7.79910841
31	7.672293686
32	7.530854285
33	7.421677164
34	7.327997796
35	7.197492452
36	7.092749609
37	7.006321322
38	6.894832887
39	6.793564449
40	6.699390456
41	6.615307185
42	6.564245768
43	6.487680064
44	6.407158325
45	6.349339436
46	6.28894659
47	6.227399624
48	6.152704867
49	6.109253251
50	6.032129544
51	5.975503352
52	5.94165229
53	5.887377346
54	5.838851208
55	5.794625254
56	5.738599602
57	5.691034396
58	5.661245066
59	5.62500179
60	5.586520238
61	5.547879733
62	5.503483167
63	5.472273053
64	5.439531551
65	5.411105548
66	5.384321437
67	5.359357732
68	5.329460026
69	5.29966932
70	5.280889962
71	5.248686757
72	5.20942943
73	5.17221663
74	5.151816522
75	5.117424759
76	5.08746898
77	5.05952539
78	5.029036818
79	5.002682107
80	4.981250365
81	4.958976294
82	4.93609721
83	4.911543623
84	4.895130277
85	4.872169455
86	4.854225789
87	4.831737116
88	4.82000474
89	4.807673875
90	4.792245934
91	4.784155897
92	4.763872689
93	4.748362469
94	4.729507869
95	4.721525057
96	4.703598523
97	4.690433826
98	4.665792399
99	4.644466396
