iter	RMSE
0	14.68876187
1	14.30198061
2	13.92045304
3	13.55596838
4	13.21510776
5	12.90914472
6	12.62433135
7	12.34339526
8	12.08559222
9	11.79118105
10	11.50489148
11	11.26836554
12	11.01313395
13	10.76051032
14	10.53142574
15	10.3030088
16	10.09015282
17	9.891118783
18	9.693582822
19	9.518061147
20	9.348221484
21	9.213491079
22	9.057017538
23	8.901597626
24	8.746810586
25	8.602229377
26	8.458248655
27	8.33530517
28	8.204903466
29	8.089618551
30	7.987462709
31	7.885217961
32	7.776954064
33	7.689485672
34	7.583902199
35	7.488468596
36	7.391224423
37	7.317013342
38	7.231608286
39	7.146404616
40	7.06895449
41	7.008974186
42	6.932355833
43	6.874902115
44	6.806097193
45	6.746782408
46	6.680498388
47	6.621950115
48	6.563902387
49	6.501000528
50	6.447392373
51	6.385682401
52	6.337953804
53	6.283240143
54	6.234269303
55	6.191207958
56	6.149580936
57	6.109090134
58	6.073369498
59	6.041302447
60	6.0115134
61	5.976950649
62	5.938514558
63	5.903886693
64	5.871273741
65	5.84397741
66	5.814118902
67	5.78614574
68	5.761719927
69	5.735962967
70	5.710525602
71	5.687434627
72	5.665980412
73	5.642335405
74	5.61922374
75	5.601924807
76	5.585165059
77	5.563229083
78	5.548126876
79	5.530894584
80	5.514141881
81	5.50193706
82	5.485651935
83	5.471406938
84	5.454151351
85	5.4343754
86	5.416747095
87	5.40588431
88	5.393419745
89	5.379761135
90	5.366793867
91	5.356166389
92	5.341436022
93	5.335069869
94	5.325380786
95	5.314083627
96	5.306654214
97	5.292740916
98	5.2798078
99	5.267100554
100	5.257557197
101	5.248487211
102	5.238580332
103	5.225924253
104	5.218065583
105	5.210526654
106	5.202148685
107	5.193581238
108	5.187130004
109	5.179651239
110	5.168742266
111	5.16063132
112	5.155103605
113	5.14372569
114	5.139549494
115	5.127931599
116	5.121412953
117	5.11453087
118	5.110111658
119	5.105299742
120	5.09875581
121	5.093428394
122	5.087835395
123	5.076730853
124	5.073827161
125	5.067314368
126	5.063969192
127	5.056520679
128	5.050607962
129	5.045897561
130	5.038782146
131	5.030961476
132	5.027776418
133	5.023067091
134	5.015877122
135	5.012977639
136	5.006898953
137	5.00298674
138	4.994982225
139	4.986646827
140	4.98178858
141	4.976549124
142	4.970802982
143	4.962819258
144	4.958587526
145	4.95630371
146	4.953291692
147	4.948252779
148	4.943285411
149	4.938246914
150	4.932994249
151	4.930455657
152	4.923108294
153	4.917557002
154	4.913483301
155	4.908302059
156	4.900344835
157	4.893317523
158	4.888792092
159	4.884116099
160	4.879844318
161	4.876662408
162	4.875813529
163	4.873023281
164	4.86752327
165	4.862437533
166	4.857215858
167	4.853532287
168	4.850385398
169	4.847571395
170	4.840688668
171	4.836519897
172	4.83469383
173	4.831827957
174	4.827701431
175	4.82338896
176	4.815764423
177	4.810968883
178	4.805699824
179	4.80063789
180	4.796902008
181	4.79290341
182	4.789900927
183	4.788016938
184	4.783437453
185	4.781130704
186	4.779208272
187	4.772880393
188	4.77025571
189	4.767103644
190	4.764275481
191	4.761519487
192	4.759414843
193	4.756949848
194	4.750656622
195	4.748553432
196	4.746920997
197	4.742440424
198	4.738457076
199	4.735196011
200	4.728524948
201	4.72675269
202	4.721990701
203	4.719674968
204	4.715752902
205	4.711459602
206	4.70878798
207	4.705782208
208	4.702838957
209	4.699109124
210	4.696850682
211	4.69426565
212	4.69126234
213	4.686924737
214	4.684869367
215	4.678527811
216	4.675651358
217	4.673517383
218	4.67071577
219	4.669010458
220	4.667893634
221	4.665330269
222	4.663672806
223	4.659792326
224	4.657803639
225	4.655917255
226	4.653604216
227	4.64985106
228	4.647284989
229	4.642948967
230	4.638125652
231	4.634586974
232	4.630750002
233	4.627189068
234	4.625715436
235	4.624142558
236	4.618206986
237	4.612423033
238	4.611273343
239	4.609026374
240	4.607456609
241	4.603261522
242	4.5990833
243	4.596512156
244	4.589419105
245	4.583933506
246	4.582051857
247	4.579850992
248	4.57501999
249	4.571802036
250	4.570284404
251	4.568519004
252	4.563295786
253	4.558513715
254	4.557136072
255	4.555844198
256	4.550737244
257	4.545393339
258	4.542644352
259	4.537002199
260	4.532852569
261	4.527875732
262	4.523465455
263	4.516682975
264	4.515739821
265	4.512839986
266	4.505991328
267	4.504427012
268	4.50245463
269	4.49900796
270	4.495944073
271	4.494433591
272	4.490845851
273	4.486483793
274	4.485522992
275	4.481232669
276	4.480327657
277	4.476603269
278	4.472934331
279	4.467058034
280	4.465823454
281	4.462327059
282	4.457499909
283	4.455709815
284	4.452475943
285	4.451415572
286	4.44808921
287	4.447198954
288	4.446334877
289	4.443566466
290	4.442020115
291	4.440234053
292	4.43896702
293	4.437972216
294	4.434257812
295	4.430303904
296	4.426215534
297	4.425434308
298	4.421030518
299	4.419780676
300	4.41840537
301	4.417461315
302	4.415491457
303	4.413229117
304	4.406554447
305	4.405564096
306	4.401574155
307	4.397606362
308	4.393976422
309	4.393112742
310	4.389069949
311	4.38617298
312	4.384755193
313	4.38237352
314	4.379924276
315	4.378926705
316	4.374383684
317	4.371775951
318	4.368096641
319	4.366833186
320	4.364168462
321	4.359729225
322	4.358506988
323	4.357191166
324	4.351499136
325	4.347784887
326	4.343876701
327	4.342158702
328	4.341300213
329	4.338520826
330	4.335570094
331	4.334516007
332	4.330993592
333	4.326230253
334	4.325349795
335	4.323658031
336	4.320280985
337	4.314855279
338	4.313017999
339	4.311399444
340	4.308020608
341	4.306307443
342	4.303326126
343	4.299747712
344	4.295020292
345	4.292788958
346	4.288344134
347	4.282850398
348	4.279617413
349	4.275834302
350	4.272891872
351	4.271069665
352	4.267155739
353	4.264767646
354	4.262256663
355	4.260342683
356	4.25963496
357	4.256612896
358	4.255672252
359	4.251545609
360	4.250129223
361	4.246875063
362	4.244065194
363	4.241969351
364	4.239663627
365	4.236176169
366	4.232325588
367	4.228476884
368	4.225851079
369	4.224808965
370	4.221642424
371	4.22064896
372	4.217920827
373	4.216505114
374	4.214731752
375	4.209120418
376	4.207261547
377	4.202682371
378	4.199776034
379	4.198903062
380	4.192728089
381	4.188312546
382	4.184502668
383	4.184143756
384	4.182148771
385	4.178309317
386	4.176497435
387	4.172999478
388	4.169908494
389	4.167566432
390	4.16401564
391	4.160214531
392	4.159453937
393	4.156122379
394	4.154395584
395	4.152720395
396	4.150330282
397	4.148142079
398	4.146311256
399	4.144263503
400	4.139991308
401	4.13623915
402	4.135878385
403	4.135632658
404	4.133918054
405	4.128827938
406	4.125229341
407	4.120489891
408	4.118074229
409	4.115185689
410	4.113598728
411	4.11164336
412	4.110138617
413	4.106015767
414	4.102279849
415	4.097840743
416	4.094044486
417	4.089420577
418	4.088283184
419	4.086333097
420	4.083366426
421	4.079089823
422	4.075161091
423	4.071500258
424	4.070313825
425	4.068996023
426	4.065071408
427	4.064495727
428	4.062688505
429	4.059751761
430	4.056653719
431	4.053292302
432	4.048818925
433	4.042464261
434	4.037141705
435	4.034319342
436	4.032296432
437	4.031741585
438	4.030441035
439	4.030177559
440	4.028866653
441	4.026958329
442	4.025907769
443	4.022093963
444	4.018626989
445	4.015645986
446	4.011763121
447	4.00779014
448	4.004166849
449	4.002095519
450	4.001626965
451	3.999281883
452	3.996453804
453	3.993851501
454	3.990662054
455	3.989828901
456	3.987508348
457	3.983213216
458	3.97971781
459	3.978107347
