iter	Passed	Remaining
0	146	146318
1	148	74345
2	151	50406
3	153	38328
4	156	31223
5	159	26376
6	161	22904
7	163	20306
8	166	18305
9	168	16688
10	170	15359
11	173	14268
12	175	13333
13	177	12535
14	180	11877
15	183	11269
16	184	10694
17	186	10201
18	188	9757
19	190	9336
20	192	8962
21	194	8633
22	195	8312
23	196	8010
24	198	7725
25	199	7467
26	200	7228
27	201	7007
28	202	6792
29	203	6592
30	204	6404
31	205	6226
32	207	6078
33	208	5925
34	209	5779
35	210	5644
36	211	5510
37	212	5382
38	213	5264
39	214	5154
40	215	5045
41	216	4940
42	217	4841
43	218	4746
44	219	4659
45	220	4573
46	221	4493
47	222	4420
48	224	4349
49	225	4278
50	226	4208
51	227	4143
52	228	4081
53	229	4020
54	230	3959
55	231	3901
56	232	3847
57	233	3793
58	234	3744
59	236	3698
60	237	3648
61	238	3601
62	238	3554
63	239	3508
64	240	3466
65	241	3424
66	242	3383
67	243	3343
68	244	3304
69	245	3266
70	246	3229
71	247	3194
72	249	3162
73	250	3129
74	251	3098
75	252	3067
76	253	3039
77	254	3008
78	255	2978
79	256	2949
80	257	2920
81	258	2891
82	259	2863
83	260	2836
84	261	2810
85	262	2786
86	263	2763
87	264	2741
88	265	2717
89	266	2695
90	267	2673
91	268	2652
92	269	2631
93	270	2607
94	271	2586
95	272	2565
96	273	2545
97	274	2524
98	275	2505
99	276	2486
100	277	2468
101	278	2452
102	279	2435
103	280	2419
104	281	2401
105	282	2385
106	283	2368
107	284	2351
108	285	2334
109	286	2319
110	287	2304
111	288	2290
112	289	2274
113	290	2259
114	291	2245
115	292	2231
116	294	2218
117	295	2205
118	296	2192
119	297	2179
120	298	2167
121	299	2154
122	300	2141
123	301	2128
124	302	2115
125	303	2102
126	303	2089
127	305	2078
128	306	2067
129	307	2056
130	308	2046
131	309	2036
132	310	2025
133	311	2015
134	312	2005
135	313	1994
136	314	1983
137	315	1973
138	316	1962
139	317	1951
140	318	1941
141	319	1931
142	320	1921
